especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
MGC9D,MEP,48hs,111.5,0.45,113.5,111.0,17:00:09,ONS
MGC9O,ARS,CI,54990.0,2.02,55000.0,53900.0,16:30:09,ONS
MGC9O,ARS,24hs,54000.0,2.75,52554.0,52554.0,17:00:23,ONS
MGC9O,ARS,48hs,53900.0,0.56,54000.0,53600.0,17:00:16,ONS
MGCBO,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
MGCEO,ARS,48hs,29750.0,0.0,29750.0,29750.0,17:00:10,ONS
MGCGD,MEP,CI,0.24,-0.84,0.24,0.24,16:30:14,ONS
MGCGO,ARS,CI,114.0,0.0,114.0,114.0,16:30:19,ONS
MGCGO,ARS,48hs,108.0,0.0,108.0,108.0,17:00:09,ONS
MGCHD,MEP,CI,103.75,-0.24,104.5,104.0,16:30:04,ONS
MGCHD,MEP,48hs,101.75,0.64,101.95,101.1,17:00:09,ONS
MGCHO,ARS,CI,49989.5,0.99,49989.5,49500.0,16:30:21,ONS
MGCHO,ARS,48hs,48900.0,0.0,49950.0,48900.0,17:00:10,ONS
MRCAD,MEP,CI,77.5,-0.06,77.0,77.55,16:30:11,ONS
MRCAD,MEP,24hs,0.0,0.0,0.0,0.0,,ONS
MRCAD,MEP,48hs,77.6,0.13,78.0,77.5,17:00:11,ONS
MRCAO,ARS,CI,37300.0,0.57,37211.0,37089.5,16:30:22,ONS
MRCAO,ARS,48hs,37300.0,0.4,37300.0,37150.0,16:55:13,ONS
MRCEO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
MRCEO,ARS,48hs,50250.0,1.31,49600.0,49600.0,17:00:09,ONS
MRCFO,ARS,48hs,50900.0,-0.2,52500.0,51000.0,17:00:09,ONS
MRCGO,ARS,48hs,27000.0,1.89,27000.0,26500.0,17:00:27,ONS
MRCHO,ARS,48hs,22500.0,4.65,22000.0,21500.0,17:00:23,ONS
MRCID,MEP,CI,0.0,0.0,0.0,0.0,,ONS
MRCID,MEP,48hs,101.9,0.1,98.2,101.8,17:00:13,ONS
MRCIO,ARS,CI,0.0,0.0,0.0,0.0,,ONS
MRCIO,ARS,48hs,48900.0,-0.31,48900.0,49050.0,17:00:20,ONS
MRCJO,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
MRCLD,MEP,CI,101.5,0.0,101.5,101.5,16:30:27,ONS
MRCLD,MEP,48hs,101.5,0.2,102.0,101.3,17:00:10,ONS
