tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
CEDEARS;AVY;AVYD;;AVY;Avery Dennison Corp.;NYSE;18;True
CEDEARS;BK;BKD;GKC;BK;The Bank Of New York Mellon Corp.;NYSE;2;True
CEDEARS;CL;CLD;;CL;Colgate Palmolive Co;NYSE;3;True
CEDEARS;CAH;CAHD;CAHC;CAH;Cardinal Health Inc;NYSE;3;True
CEDEARS;AKO.B;AKOBD;AKOBC;AKO/B;Embotelladora Andina S.A.;NYSE;1;True
CEDEARS;MDT;MDTD;MDTC;MDT;Medtronic Public Limited Company;NYSE;4;True
CEDEARS;E;;;E;Eni Spa;NYSE;4;True
CEDEARS;KMB;KMBD;;KMB;Kimberly-Clark Corp.;NYSE;6;True
CEDEARS;SCCO;SCCOD;;SCCO;Southern Copper Corp;NYSE;2;True
CEDEARS;IBN;;;IBN;Icici Bank Ltd.;NYSE;1;True
CEDEARS;KB;KBD;;KB;Kb Financial Group Inc.;NYSE;2;True
CEDEARS;GRMN;GRMND;GRMNC;GRMN;Garmin Ltd.;NASDAQ;3;True
