especie,nombre,ultimo,var,hora
AGBA,AGBA Group Holding Limited Ordinary Share,$1.41,-1.399%,2023-06-27 20:16:06.697
AGBAW,AGBA Group Holding Limited Warrant,$0.0594,-1.00%,2023-06-27 20:16:06.697
AGCO,AGCO Corporation Common Stock,$132.56,0.615%,2023-06-27 20:16:06.697
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,$9.43,0.213%,2023-06-27 20:16:06.697
AGE,AgeX Therapeutics Inc. Common Stock,$0.66,1.538%,2023-06-27 20:16:06.697
AGEN,Agenus Inc. Common Stock,$1.68,2.439%,2023-06-27 20:16:06.697
AGFY,Agrify Corporation Common Stock,$0.193,0.416%,2023-06-27 20:16:06.697
AGI,Alamos Gold Inc. Class A Common Shares,$11.50,-1.033%,2023-06-27 20:16:06.697
AGIL,AgileThought Inc. Class A Common Stock,$0.74,-1.333%,2023-06-27 20:16:06.697
AGILW,AgileThought Inc. Warrant,$0.05,-3.846%,2023-06-27 20:16:06.697
AGIO,Agios Pharmaceuticals Inc. Common Stock,$28.13,2.403%,2023-06-27 20:16:06.697
AGL,agilon health inc. Common Stock,$16.72,0.481%,2023-06-27 20:16:06.697
AGLE,Aeglea BioTherapeutics Inc. Common Stock,$0.375,-1.003%,2023-06-27 20:16:06.697
AGM,Federal Agricultural Mortgage Corporation Common Stock,$140.82,0.421%,2023-06-27 20:16:06.697
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,$24.86,-2.087%,2023-06-27 20:16:06.697
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,$23.6575,1.187%,2023-06-27 20:16:06.697
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,$23.3799,1.037%,2023-06-27 20:16:06.697
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,$21.1799,-0.141%,2023-06-27 20:16:06.697
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,$19.70,-1.696%,2023-06-27 20:16:06.697
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,$1.71,1.183%,2023-06-27 20:16:06.697
AGNC,AGNC Investment Corp. Common Stock,$10.29,1.28%,2023-06-27 20:16:06.697
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$22.20,-0.671%,2023-06-27 20:16:06.697
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$22.3032,-0.03%,2023-06-27 20:16:06.697
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.58,-0.078%,2023-06-27 20:16:06.697
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$23.00,0.877%,2023-06-27 20:16:06.697
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$21.09,0.429%,2023-06-27 20:16:06.697
AGO,Assured Guaranty Ltd. Common Stock,$54.00,0.84%,2023-06-27 20:16:06.697
AGR,Avangrid Inc. Common Stock,$38.08,0.981%,2023-06-27 20:16:06.697
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,$0.218,-5.011%,2023-06-27 20:16:06.697
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,$0.0399,0.00%,2023-06-27 20:16:06.697
AGRO,Adecoagro S.A. Common Shares,$9.18,-5.263%,2023-06-27 20:16:06.697
AGRX,Agile Therapeutics Inc. Common Stock,$2.50,-8.425%,2023-06-27 20:16:06.697
AGS,PlayAGS Inc. Common Stock,$5.66,-0.702%,2023-06-27 20:16:06.697
